q_id,questions,answer,Faithfulness,Answer_Relevancy,Contextual_Recall,Contextual_Precision,Contextual_Relevancy
11,剛買了二手屋，水費單的名字還是前屋主，要怎麼改成我的名字？,您好！申請過戶請先經前用戶簽章同意並繳清欠費。若無法取得簽章，您可單獨申請，但前用戶於6個月內提出異議時得取消變更，且您需清繳取消前之欠費。您也可以選擇按新設方式辦理。若無欠費，可利用郵寄、傳真或網路線上申請喔！,1.0,1.0,0.5,1.0,0.429
12,房子要空著半年沒人住，不想一直繳基本費，可以先暫停供水嗎？,"您好！空屋若日後仍須用水，不宜申請廢止，您可以辦理「停用」喔！

辦理停用請親洽本公司當地服務（營運）所，並請先拍攝水表度數，以便在櫃檯結清停用前的水費。

提醒您，若停用超過2年，水籍將會被註銷，日後重新用水就必須依新設方式重新申請接水囉！",1.0,1.0,0.75,1.0,0.455
13,水的硬度太高會有茶垢，法規標準是多少才算合格？,您好！我國「飲用水水質標準」規定，總硬度（以碳酸鈣計）的最大限值為 300 毫克／公升。若因天然災害需分區供水，於天然災害應變期間，總硬度最大限值則為 400 毫克／公升。台水公司供應的自來水皆經過嚴格的檢驗管理把關，民眾可以安心飲用喔！,1.0,0.5,1.0,1.0,0.818
14,發現鄰居好像私接水管偷水，我要去哪裡檢舉？會保密嗎？,您好！若您發現有私接水管等竊水行為，請向本公司各單位進行檢舉。請您放心，本公司對於檢舉人的姓名、住址絕對會負責保密。此外，檢舉案件一經查獲，並於追償水費收入後，會按規定發給您檢舉獎金喔！,1.0,1.0,1.0,1.0,0.133
15,我是職業軍人的太太，家裡的水費有打折嗎？需要準備什麼文件？,"您好！身為現役軍人配偶，您的住宅飲用水享有優待付費喔！申請時請準備以下文件辦理：

1. 現役軍人眷屬身分證。
2. 戶口名簿。

提醒您，申請的「優待地址」必須為您的「戶籍地址」喔！",1.0,1.0,0.667,1.0,0.692
16,颱風天過後水很濁，這時候的氯含量標準會不一樣嗎？,您好！是的，標準會有所不同。當因暴雨或天然災害導致水源濁度超過1500NTU時，自由有效餘氯的限制範圍會調整為0.2~3.0毫克／公升（平時為0.2~1.0毫克／公升）。在此範圍內的濃度對人體不會有影響，請您安心。,1.0,1.0,1.0,1.0,0.429
17,門口的水表被人偷走了，我要賠錢嗎？還是只要報警就好？,您好！如果水表（水量計）失竊，只要您向警方報案並提出「報案紀錄」，本公司將不會要求您賠償。請您儘速向本公司當地服務（營運）所辦理賠表手續，以便重新裝表。,0.5,1.0,1.0,1.0,0.25
18,用手機掃QR Code刷卡繳水費，銀行會多收手續費嗎？,您好！使用手機掃描水費帳單的 QR Code 並以信用卡繳費，屬於國內網路交易，您是「免支付」刷信用卡手續費的喔！請您放心使用便捷的線上繳費服務。,1.0,0.667,1.0,1.0,0.091
19,我不想要用台水App了，要怎麼把我的個資和帳號全部刪掉？,"您好！若您想刪除台灣自來水App的帳號與個人資料，您可以向客服管道申請辦理。請於週一至週五 9:00-17:00，透過以下方式聯絡我們，將有專人為您服務：

1. 申訴(客服)專線：(04)2224-4191
2. 客服電子郵件信箱：twcmobile@mail.water.gov.tw",1.0,1.0,1.0,1.0,0.2
20,頂樓水塔常常沒水，我可以直接在一樓裝馬達抽水上去嗎？,"您好！不可以直接將抽水馬達接在自來水管上抽水喔！這樣做不僅會影響鄰居用水，還容易使管內產生負壓吸入污水，造成水質污染。

請改用「間接抽水」方式：先讓自來水流入蓄水池（受水池）中，再以馬達抽至頂樓水塔。這樣才能確保您的用水安全與衛生喔！",1.0,1.0,1.0,1.0,0.231
21,救命，我打開水龍頭流出來是白色的，是不是有毒？,"您好！請不用擔心，這並不是有毒喔！

這是因為自來水在管線輸送與加壓過程中混入了空氣，使得流出的水夾帶大量氣泡，看起來才會呈現白濁色。

只要將水靜置數秒到2分鐘，氣泡自然消失後就會變回清澈。這與水質沒有任何關係，請您安心使用！",1.0,1.0,0.667,1.0,0.5
22,我要搬家了，那個水費要怎麼處理才不會繼續算我的錢？,"您好！搬家時若要結清費用，您可以自抄水表度數，親赴當地服務（營運）所辦理「中間結帳」；若不知度數，可依以往紀錄推定。

此外，若房屋暫不用水，可親洽服務所辦理「停用」，並拍下水表度數於櫃檯結清。若有新住戶，亦可辦理「過戶」變更用水名義人並繳清費用喔！",1.0,1.0,0.667,1.0,0.75
23,我覺得我家水費怪怪的，平常沒用這麼多，是不是你們算錯？,"您好！水費突增的原因可能有：漏水、水表故障或錯裝、抄表錯誤（或推定度數差異）及水量遭竊用。

若您有疑問，可透過電話、信函、E-mail、網路信箱，或親洽櫃台、抄表人員申請用水量複查。我們受理後會派員處理並通知結果，繳費期限將改自處理後通知日起算。",1.0,1.0,0.6,1.0,0.667
24,我不喜歡那個紙張的單子，很不環保，有沒有別的方式？,"您好！為了響應環保，我們提供「電子帳單」及「簡訊帳單」兩種無紙化服務，您可以依需求擇一申請。

申請成功後，我們就不會再寄送紙本帳單囉！其中「簡訊帳單」會將帳單改以簡訊發送，點開連結並完成驗證即可開啟當期帳單。歡迎您一起加入節能減碳的行列！",1.0,1.0,0.333,1.0,0.455
25,喝起來有一股藥味，這水是不是不乾淨？,您好！自來水有輕微的消毒水味（藥味）是正常的，表示水質衛生安全。這是因為淨水時會加氯消毒以避免水媒疾病，對健康無影響，僅少數敏感的人會感覺到。另外，若您剛換過水錶，可能是接頭少許化合物進入水中所致，此時可先將水用於沖廁、擦地或澆花等用途喔！,1.0,1.0,0.75,1.0,0.636
26,我想把名字改成我的，原本是前屋主的，要帶什麼去？,"您好！關於辦理過戶（變更用水名義人）「需要攜帶什麼證明文件」，目前資料中查無相關資訊。

但提醒您，申請時應先經前用戶簽章同意並繳清各項費用；若無法取得前用戶簽章，亦可單獨申請。若無欠費，則可利用郵寄、傳真或網路線上申請。",1.0,1.0,0.4,1.0,0.4
27,熱水瓶底下都有白白的垢，那個吃下去會不會結石？,"您好！熱水瓶底下的白垢是水中的硬度物質加熱後產生的碳酸鹽固體（俗稱石灰質），對人體健康並無不良影響。

醫學研究指出，水質硬度與泌尿結石二者之間並無直接關係，且礦物質是人體不可或缺的營養，請您不用擔心，可以安心飲用喔！",1.0,1.0,1.0,1.0,0.583
28,我忘了繳錢，現在半夜超商還能繳嗎？還是會被斷水？,"您好！關於半夜超商是否能繳費，目前資料中查無相關資訊。

不過，若在收費次月21日前（或收到二期催繳單的期限內），您仍可持單或至超商多媒體機補單至超商繳費（會併下期計收遲延費）。另外，若欠費逾2個月（自收費月份1日起算）仍未繳付，將會執行停水喔！",1.0,1.0,0.667,1.0,0.9
29,為什麼洗澡水忽大忽小，樓上根本洗不痛快！,"您好！當地區用水量超過輸配水管的設計輸送能力時，水壓會普遍降低，導致居住在管線末端或較高地區（如樓上），在尖峰用水時間容易有缺水、水壓不足的現象。

若水壓不足以供應需要，可設置加壓設備，但請注意抽水機應從受水池抽水，絕對不能由水管直接抽水，以免影響鄰居用水及造成水源污染喔！",1.0,1.0,1.0,1.0,0.273
30,我覺得隔壁好像偷接我的水管，水費變好多，要去哪裡講？,"您好！若您懷疑有竊水情況，請向本公司各單位進行檢舉，我們對檢舉人的姓名、住址絕對負責保密。

另外，針對水費突增的疑問，您可以利用電話、信函（書面）、E-mail、網路便民信箱，或親洽當地營運（服務）所、當面向我們的抄表或櫃台人員申請用水量複查，我們受理後會儘速派員為您處理喔！",1.0,1.0,0.75,1.0,0.778
